행정구역,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_60~64세,2020년_계_65~69세,2020년_남_총인구수,2020년_남_연령구간인구수,2020년_남_60~64세,2020년_남_65~69세,2020년_여_총인구수,2020년_여_연령구간인구수,2020년_여_60~64세,2020년_여_65~69세,2021년_계_총인구수,2021년_계_연령구간인구수,2021년_계_60~64세,2021년_계_65~69세,2021년_남_총인구수,2021년_남_연령구간인구수,2021년_남_60~64세,2021년_남_65~69세,2021년_여_총인구수,2021년_여_연령구간인구수,2021년_여_60~64세,2021년_여_65~69세,2022년_계_총인구수,2022년_계_연령구간인구수,2022년_계_60~64세,2022년_계_65~69세,2022년_남_총인구수,2022년_남_연령구간인구수,2022년_남_60~64세,2022년_남_65~69세,2022년_여_총인구수,2022년_여_연령구간인구수,2022년_여_60~64세,2022년_여_65~69세,2022년_계_총인구수,2022년_계_연령구간인구수,2022년_계_60~64세,2022년_계_65~69세,2022년_남_총인구수,2022년_남_연령구간인구수,2022년_남_60~64세,2022년_남_65~69세,2022년_여_총인구수,2022년_여_연령구간인구수,2022년_여_60~64세,2022년_여_65~69세,2023년_계_총인구수,2023년_계_연령구간인구수,2023년_계_60~64세,2023년_계_65~69세,2023년_남_총인구수,2023년_남_연령구간인구수,2023년_남_60~64세,2023년_남_65~69세,2023년_여_총인구수,2023년_여_연령구간인구수,2023년_여_60~64세,2023년_여_65~69세,2024년_계_총인구수,2024년_계_연령구간인구수,2024년_계_60~64세,2024년_계_65~69세,2024년_남_총인구수,2024년_남_연령구간인구수,2024년_남_60~64세,2024년_남_65~69세,2024년_여_총인구수,2024년_여_연령구간인구수,2024년_여_60~64세,2024년_여_65~69세
전국  (0000000000),"51,829,023","6,744,506","3,950,469","2,794,037","25,841,029","3,298,604","1,953,296","1,345,308","25,987,994","3,445,902","1,997,173","1,448,729","51,638,809","7,164,712","4,136,749","3,027,963","25,746,684","3,508,745","2,046,089","1,462,656","25,892,125","3,655,967","2,090,660","1,565,307","51,439,038","7,403,539","4,218,037","3,185,502","25,636,951","3,635,619","2,091,002","1,544,617","25,802,087","3,767,920","2,127,035","1,640,885","51,439,038","7,403,539","4,218,037","3,185,502","25,636,951","3,635,619","2,091,002","1,544,617","25,802,087","3,767,920","2,127,035","1,640,885","51,325,329","7,630,708","4,219,699","3,411,009","25,565,736","3,755,827","2,095,791","1,660,036","25,759,593","3,874,881","2,123,908","1,750,973","51,217,221","7,818,783","4,191,644","3,627,139","25,498,324","3,850,559","2,087,725","1,762,834","25,718,897","3,968,224","2,103,919","1,864,305"
서울특별시  (1100000000),"9,668,465","1,243,954","714,460","529,494","4,701,723","587,294","339,633","247,661","4,966,742","656,660","374,827","281,833","9,509,458","1,285,922","722,662","563,260","4,618,040","607,114","343,867","263,247","4,891,418","678,808","378,795","300,013","9,428,372","1,297,787","717,931","579,856","4,570,048","613,444","342,841","270,603","4,858,324","684,343","375,090","309,253","9,428,372","1,297,787","717,931","579,856","4,570,048","613,444","342,841","270,603","4,858,324","684,343","375,090","309,253","9,386,034","1,315,938","706,835","609,103","4,540,031","622,855","338,627","284,228","4,846,003","693,083","368,208","324,875","9,331,828","1,326,239","692,690","633,549","4,505,355","627,775","332,715","295,060","4,826,473","698,464","359,975","338,489"
부산광역시  (2600000000),"3,391,946","531,620","299,803","231,817","1,661,000","251,584","142,613","108,971","1,730,946","280,036","157,190","122,846","3,350,380","548,878","304,771","244,107","1,639,044","258,914","144,190","114,724","1,711,336","289,964","160,581","129,383","3,317,812","555,859","302,800","253,059","1,619,915","261,894","143,025","118,869","1,697,897","293,965","159,775","134,190","3,317,812","555,859","302,800","253,059","1,619,915","261,894","143,025","118,869","1,697,897","293,965","159,775","134,190","3,293,362","560,720","295,534","265,186","1,605,431","264,259","139,573","124,686","1,687,931","296,461","155,961","140,500","3,266,598","561,092","285,432","275,660","1,589,912","263,229","135,224","128,005","1,676,686","297,863","150,208","147,655"
대구광역시  (2700000000),"2,418,346","325,957","188,566","137,391","1,193,109","155,170","91,318","63,852","1,225,237","170,787","97,248","73,539","2,385,412","342,291","196,207","146,084","1,175,632","162,849","94,677","68,172","1,209,780","179,442","101,530","77,912","2,363,691","351,340","199,967","151,373","1,162,865","167,435","96,333","71,102","1,200,826","183,905","103,634","80,271","2,363,691","351,340","199,967","151,373","1,162,865","167,435","96,333","71,102","1,200,826","183,905","103,634","80,271","2,374,960","365,980","204,750","161,230","1,166,803","175,097","98,547","76,550","1,208,157","190,883","106,203","84,680","2,363,629","375,530","202,149","173,381","1,159,601","179,299","97,552","81,747","1,204,028","196,231","104,597","91,634"
인천광역시  (2800000000),"2,942,828","367,879","224,713","143,166","1,473,943","182,261","112,398","69,863","1,468,885","185,618","112,315","73,303","2,948,375","399,128","239,252","159,876","1,476,373","197,657","119,674","77,983","1,472,002","201,471","119,578","81,893","2,967,314","420,463","248,495","171,968","1,485,175","207,816","124,080","83,736","1,482,139","212,647","124,415","88,232","2,967,314","420,463","248,495","171,968","1,485,175","207,816","124,080","83,736","1,482,139","212,647","124,415","88,232","2,997,410","441,411","251,944","189,467","1,499,016","218,084","125,654","92,430","1,498,394","223,327","126,290","97,037","3,021,010","459,894","254,197","205,697","1,509,243","226,844","126,336","100,508","1,511,767","233,050","127,861","105,189"
광주광역시  (2900000000),"1,450,062","163,784","97,629","66,155","717,348","78,051","47,117","30,934","732,714","85,733","50,512","35,221","1,441,611","172,124","102,259","69,865","713,015","82,025","49,124","32,901","728,596","90,099","53,135","36,964","1,431,050","177,332","103,591","73,741","707,299","84,600","49,840","34,760","723,751","92,732","53,751","38,981","1,431,050","177,332","103,591","73,741","707,299","84,600","49,840","34,760","723,751","92,732","53,751","38,981","1,419,237","184,732","105,142","79,590","700,896","88,343","50,786","37,557","718,341","96,389","54,356","42,033","1,408,422","190,637","104,727","85,910","695,224","91,317","50,879","40,438","713,198","99,320","53,848","45,472"
대전광역시  (3000000000),"1,463,882","179,153","106,420","72,733","730,699","87,060","52,042","35,018","733,183","92,093","54,378","37,715","1,452,251","190,514","111,220","79,294","724,626","92,406","54,238","38,168","727,625","98,108","56,982","41,126","1,446,072","197,255","113,096","84,159","721,245","95,583","55,107","40,476","724,827","101,672","57,989","43,683","1,446,072","197,255","113,096","84,159","721,245","95,583","55,107","40,476","724,827","101,672","57,989","43,683","1,442,216","202,026","112,315","89,711","719,292","97,866","54,755","43,111","722,924","104,160","57,560","46,600","1,439,157","206,460","111,486","94,974","717,291","100,122","54,604","45,518","721,866","106,338","56,882","49,456"
울산광역시  (3100000000),"1,136,017","145,347","88,121","57,226","583,708","73,250","44,670","28,580","552,309","72,097","43,451","28,646","1,121,592","155,775","93,300","62,475","576,217","78,393","47,259","31,134","545,375","77,382","46,041","31,341","1,110,663","163,353","96,426","66,927","570,368","82,306","49,097","33,209","540,295","81,047","47,329","33,718","1,110,663","163,353","96,426","66,927","570,368","82,306","49,097","33,209","540,295","81,047","47,329","33,718","1,103,661","169,307","97,045","72,262","567,153","85,401","49,487","35,914","536,508","83,906","47,558","36,348","1,098,049","175,205","97,264","77,941","564,888","88,369","49,707","38,662","533,161","86,836","47,557","39,279"
세종특별자치시  (3600000000),"355,831","30,139","18,009","12,130","177,568","14,935","9,001","5,934","178,263","15,204","9,008","6,196","371,895","33,522","19,706","13,816","185,678","16,596","9,829","6,767","186,217","16,926","9,877","7,049","383,591","35,788","20,786","15,002","191,389","17,797","10,399","7,398","192,202","17,991","10,387","7,604","383,591","35,788","20,786","15,002","191,389","17,797","10,399","7,398","192,202","17,991","10,387","7,604","386,525","37,233","20,922","16,311","192,524","18,533","10,508","8,025","194,001","18,700","10,414","8,286","390,685","38,784","21,369","17,415","194,413","19,327","10,779","8,548","196,272","19,457","10,590","8,867"
경기도  (4100000000),"13,427,014","1,532,434","927,851","604,583","6,754,469","761,522","466,900","294,622","6,672,545","770,912","460,951","309,961","13,565,450","1,669,601","993,321","676,280","6,827,298","830,282","499,729","330,553","6,738,152","839,319","493,592","345,727","13,589,432","1,750,962","1,030,329","720,633","6,839,276","872,468","519,074","353,394","6,750,156","878,494","511,255","367,239","13,589,432","1,750,962","1,030,329","720,633","6,839,276","872,468","519,074","353,394","6,750,156","878,494","511,255","367,239","13,630,821","1,831,793","1,044,120","787,673","6,855,895","914,132","525,995","388,137","6,774,926","917,661","518,125","399,536","13,694,685","1,911,010","1,059,375","851,635","6,882,186","953,479","533,483","419,996","6,812,499","957,531","525,892","431,639"
